kode_barang;nama_barang;jumlah_transaksi;total_penjualan;rata_rata
2 TANG  BLACK TEA 1 RENCENG  (ISI 10);2 TANG  BLACK TEA 1 RENCENG  (ISI 10);1;1;1.0000
2 TANG  MELATI 1 RENCENG (ISI 10);2 TANG  MELATI 1 RENCENG (ISI 10);1;1;1.0000
AQUA 1500 ML 1 DUS;AQUA 1500 ML 1 DUS;10;11;1.1000
 RIBUT KILOAN;RIBUT KILOAN;77;83;1.0779
7916248823;MINYAK TAWON FF;8;9;1.1250
7916248830;MINYAK TAWON EE;3;3;1.0000
7916248854;MINYAK TAWON CC;2;2;1.0000
870;KERTAS JEPUN 1 PACK;1;1;1.0000
1602;LEM KOREA ATRICO  BOTOL;20;26;1.3000
7916248847;MINYAK GOSOK TAWON DD ;16;17;1.0625
7916248854;MINYAK GOSOK TAWON CC ;10;10;1.0000
11747233026;DK KACANG GARING 60G;12;15;1.2500
11747233040;DK KACANG GARING 375G;16;17;1.0625
11747233965;KACANG DK 16G 1RENCENG;17;30;1.7647
2090;TAS DOMPET KOTAK KECIL;2;2;1.0000
2135;MASKING IFO KECIL;3;3;1.0000
2136;MASKING IFO BESAR;3;3;1.0000
2601; TAS DOMPET BESAR;3;3;1.0000
55500130207;SOS LANTAI REFIL APEL 750ML;2;2;1.0000
55500130214;SOS REFIL LEMON 750ML;6;6;1.0000
55500130221;SOS REFIL ORANGE 750ML;6;6;1.0000
55500130238;SOS REFIL BLOSSOM 750ML;3;3;1.0000
55500130245;SOS REFIL VIOLET 750ML;3;3;1.0000
718117318429;LASKAR IKAN TENGIRI RENCENG;25;28;1.1200
745760316687;BUMBUKU BAWANG PUTIH RENCENG ;35;36;1.0286
745760316694;BUMBUKU KUNYIT BUBUK RENCENG ;18;18;1.0000
745760402441;BUMBUKU PALA BUBUK 6G RENCENG;7;8;1.1429
87730899497;LILIN SPIDER;45;77;1.7111
89686000016;MI TELUR 3 AYAM MERAH;25;80;3.2000
89686000061;MI TELUR 3 AYAM KUNING;75;222;2.9600
89686010015;INDOMIE AYAM BAWANG ;316;754;2.3861
89686010046;INDOMIE AYAM SPESIAL;457;1277;2.7943
89686010343;INDOMIE SOTO MIE;534;1432;2.6816
89686010527;INDOMIE KARI AYAM;109;256;2.3486
89686010718;INDOMIE MI GORENG CABE IJO;43;84;1.9535
89686010947;INDOMIE GORENG;836;2529;3.0251
89686014280;SUPERMI AYAM BAWANG;246;1319;5.3618
89686017748;SARIMI GORENG AYAM KREMES;45;57;1.2667
89686018011;SARIMI BASO SAPI;16;22;1.3750
89686023770;SAKURA GORENG ;122;1637;13.4180
89686041705;INDOMIE GORENG JUMBO;46;68;1.4783
89686041767;INDOMIE GORENG JUMBO AYAM PANGGANG;16;22;1.3750
89686043204;INDOMIE GORENG ACEH;328;642;1.9573
89686043433;INDOMIE HYPE ABIS AYAM GEPREK;362;871;2.4061
89686043495;INDOMIE HYPE ABIS SEBLAK HOT JELETOT;225;442;1.9644
89686043617;INDOMIE HYPE ABIS MIEGHETTI BOLOGN;142;222;1.5634
89686043686;INDOMIE MI GORENG IGA PENYET;13;34;2.6154
